MOVEMENTID,ToolingCode,TotalVolume
66,ELM.RCT.230,2.00
66,MAN.ELC.D20,4.00
66,MAN.ELC.D15,4.00
66,ELM.APS.APS,2.00
66,MAN.ELC.P75,2.00
66,ELM.RCT.125,2.00
67,MAN.ELC.D20,3.00
69,ELM.RCT.RBL,1.00
70,MAN.ELC.D10,2.00
71,PNE.ELC.GUI,1.00
73,HID.CIL.CHS,2.00
73,ELM.RCT.180,1.00
73,ELM.APS.APS,1.00
73,MAN.ELC.D10,3.00
73,ELM.RCT.125,1.00
73,HID.BMB.SIM,2.00
75,ELM.APS.TIG,1.00
77,ELM.APS.TIG,1.00
79,ELM.RCT.125,3.00
79,HID.BMB.SIM,2.00
79,ELM.APS.APS,2.00
79,ELM.RCT.230,1.00
79,ELM.RCT.180,1.00
79,HID.CIL.FUR,1.00
79,MAN.ELC.D20,1.00
79,MAN.ELC.D15,1.00
79,MAN.ELC.D50,2.00
79,MAN.ELC.P15,2.00
79,MAN.ELC.P60,2.00
79,MAN.ELC.P75,1.00
80,ELM.RCT.125,3.00
80,ELM.APS.APS,1.00
80,ELM.RCT.230,2.00
80,HID.BMB.SIM,1.00
80,MAN.ELC.D10,2.00
80,HID.CIL.CHS,2.00
80,ELT.APS.APS,1.00
80,MAN.ELC.P30,1.00
80,MAN.ELC.D30,1.00
80,MAN.ELC.D20,2.00
80,MAN.ELC.P75,1.00
80,MAN.ELC.P15,2.00
82,ELM.RCT.125,4.00
83,ELM.RCT.230,1.00
84,ELM.BRB.BMG,1.00
84,ELT.APS.APS,1.00
84,ELM.RCT.125,1.00
84,ELT.APS.MIG,1.00
87,ELT.APS.MIG,1.00
89,ELT.APS.APS,1.00
89,ELM.BRB.BMG,1.00
89,ELM.RCT.125,1.00
90,ELM.RCT.180,3.00
90,ELM.APS.APS,2.00
90,MAN.ELC.P15,2.00
90,ELM.RCT.125,4.00
90,MAN.ELC.P75,3.00
94,ELM.EXT.ETS,1.00
94,ELM.RCT.RBL,1.00
94,ELM.APS.TIG,1.00
96,ELT.APS.MIG,1.00
97,ELM.RCT.125,1.00
97,ELM.EXT.ETS,4.00
97,ELM.RCT.RBL,1.00
97,ELT.APS.APS,1.00
100,ELM.RCT.125,1.00
101,ELT.APS.APS,2.00
101,ELM.APS.APS,1.00
101,MAN.ELC.TRF,3.00
102,ELM.ELC.GUI,1.00
105,ELM.RCT.125,1.00
106,HID.MTB.MVT,1.00
108,ELM.RCT.125,1.00
108,ELM.EXT.ETS,1.00
108,ELM.RCT.180,1.00
108,ELM.RCT.RBL,1.00
109,ELM.BRB.BMG,1.00
112,ELM.RCT.125,4.00
112,ELM.CHI.CEE,4.00
112,ELT.APS.APS,1.00
112,ELM.APS.APS,2.00
112,ELM.RCT.RBL,3.00
114,ELM.EXT.ETS,3.00
114,ELM.APS.APS,1.00
114,ELM.CHI.CEE,3.00
114,HID.BMB.SIM,1.00
114,ELM.RCT.RBL,1.00
114,MAN.ELC.D20,2.00
114,HID.CIL.CHS,4.00
114,MAN.ELC.P75,2.00
114,MAN.ELC.D15,1.00
114,MAN.ELC.P15,2.00
117,ELM.CHI.CEE,3.00
117,ELM.EXT.ETS,3.00
117,ELM.RCT.125,1.00
