ID,Tool
7971,"Chave de Impacto 1"" 55 mm"
5081,Chave de Luneta 18-19
26616,Luva Borracha (lavagens industriais) Nº9
8001,"Chave de Impacto 3/4"" 30 mm"
54166,Manga para ventilador pequeno
5086,Chave de Luneta 24-27
40105,Bocal Cónico MIG/MAG 360 STD
23767,Caixa de primeiros socorros
22930,Trincha Júnior 1 1/2
29344,Ponteira Isolada 2.5mm
28103,Spray Óleo de Corte
26116,"Manilha de 1+1/4"""
32478,Suporte Bico M8 MIG/MAG Tocha 360
23017,"Chave de Impacto Longa 3/4"" 36 mm"
7974,"Chave de Impacto 1"" 41 mm"
26842,NÃO USAR - Fresa Rotativa Cilíndrica 12x6 - NÃO USAR
22929,"Trincha Júnior 1"""
26562,Fita de Papel (fina - 25mm)
26436,Toldo de 20 a 40m2
23015,"Chave de Impacto Longa 3/4"" 30 mm"
35630,Cerâmica Reforçada (Porcelana) 54N16 (Nº6)
23780,Tesoura para Cortar Chapa
24051,Vidro transparente p/ máscara soldar 100*65
5080,Chave de Luneta 16-17
23107,Spray Lava-Olhos
24046,Fato Ignifugo M 210Gr
13732,Avental soldador
8011,"Chave de Impacto 3/4"" 19 mm"
29339,Ponteira Isolada 0.50mm
26840,NÃO USAR - Fresa Rotativa Cônica Ponta Redonda 12x6 - NÃO USAR
24914,Alcaiata fêmea M20 (Olhal de Suspensão)
5173,Chave de Pancada Boca 80
38675,"Conjunto de chaves impacto curtas 3/4"" - 17, 19, 22, 24, 27, 30, 32, 36, 41, 46"
24197,Punção de Bico
13735,Manguitos soldador (longos)
13733,Polainas soldador
24063,Caixa de Brocas Inox 1 a 13 mm(HSS-CO)
23544,Folha de Lixa G180
13691,Óculos de Oxicorte
22402,Chave de Bocas 10-11
15186,"Elétrodo E316L 3,2 mm"
23773,Apalpa Folgas 0.05 a 1 de 100mm
8250,Fato oleado / chuva M
24913,Alcaiata fêmea M16 (Olhal de Suspensão)
33613,Broca SDS-PLUS 10x250mm
24585,Lamela para Rebolo G40 60mm
27248,Catrabucha Carb. Reb. 125 Entrançada Taça
27766,Fresa WELDON HSS 14x30mm
23541,Folha de Lixa G100
7969,"Chave de Impacto 1"" 65 mm"
23617,Disco Ø 180 * 3.2mm
