MOVEMENTID,ToolID,Tool,TotalVolume
77356,8193,Auricular (tampão descartável) SNR 30dB,10.00
77356,5276,Tabuleiro,2.00
77356,8195,Luvas pele (mecânico) Tam. 10,24.00
77356,8191,Óculos de proteção,20.00
77356,8196,Luvas de soldar / ArcAir,12.00
77356,5363,"Chave para tubos 36"" (grifos)",1.00
77356,8205,Casaco Soldar Crute Tam. XL,1.00
77356,8194,Luvas pele (mecânico) Tam. 9,24.00
77356,8199,Casaco Soldar Crute Tam. M,2.00
77356,7310,Alavanca 1500 - 1600mm,1.00
77356,11225,Mascara de soldar Baby Fibra,7.00
77356,8204,Casaco Soldar Crute Tam. L,2.00
77356,8209,Máscara Filtrante FFP3 com válvula,20.00
77356,9514,Quadro elétrico 24V,1.00
77356,12530,Extensão 32 Amp. 4 Pinos,1.00
77356,8252,Fato oleado / chuva XL,3.00
77356,8251,Fato oleado / chuva L,3.00
77356,14286,Fato Tyvek Branco Cat. 3 - XL,5.00
77356,13693,Acrílico de Viseira,6.00
77356,8786,Diferencial de 1 Ton,1.00
77356,8993,Projetor 24V,1.00
77356,16191,Vidro escuro p/ máscara soldar N11 108*51mm,10.00
77356,13744,Luva de Soldar em crute Tam. 9/10,12.00
77356,9027,Projetor 24V,1.00
77356,14285,Fato Tyvek Branco Cat. 3 - L,5.00
77356,17268,Aloquete/Cadeado metálico 40mm,2.00
77356,14618,"Chave Ajustável 24"" (francesa / inglesa)",1.00
77356,13692,Suporte de viseira para capacete,6.00
77356,15098,"Elétrodo E7018 2,5 mm",10.20
77356,19440,"Bico contacto M8*1,2mm MIG",10.00
77356,15187,"Elétrodo E316L 2,5 mm",21.60
77356,15103,"Elétrodo E7018 3,2 mm",5.10
77356,19442,"Bico contacto M8*1,6mm MIG",10.00
77356,23569,Elétrodo Carvão - 8.0 mm,500.00
77356,16190,Vidro escuro p/ máscara soldar N10 108*51mm,10.00
77356,15186,"Elétrodo E316L 3,2 mm",16.00
77356,23619,Disco Ø 230 * 1.8(1.9)mm,25.00
77356,23620,Disco Ø 230 * 6mm,25.00
77356,16913,Aloquete/Cadeado metálico 30mm,2.00
77356,15861,Vidro transparente p/ máscara soldar 108*51,20.00
77356,32342,Difusor Gás/ Cerâmica MIG MAG para Tochas Não Refrigeradas 360,5.00
77356,32478,Suporte Bico M8 MIG/MAG Tocha 360,5.00
77356,19441,"Bico contacto M8*1,4mm MIG",10.00
77356,30873,Disco Ø 125 * 1mm Premium,200.00
77356,36089,"Conjunto de chaves pancada luneta - 24, 27, 30, 32, 36, 41, 46",2.00
77356,76980,Caixa de Ferramenta Mecânico,1.00
77356,21366,Malho 5Kg,1.00
77356,39230,Alicate de Massa Completo,9.00
77356,39231,Alicate de Soldar completo,6.00
77356,80977,Mangueira de ar,1.00
77356,21427,Marreta 2Kg,4.00
77356,101278,Bancada com torno,1.00
77356,40105,Bocal Cónico MIG/MAG 360 STD,5.00
77356,89630,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos,1.00
77356,21472,Diferencial de 1 Ton,1.00
77356,102007,"Jogo chaves impacto curtas/longas 1/2"" ( 8 à 32mm)",1.00
77356,74845,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos,1.00
77356,102818,Bancada com torno,1.00
77356,21620,Chicote 63 Amp. 5 pinos - 32 Amp. 5 pinos,1.00
77356,102322,Aparelho de soldar,1.00
77356,77255,Extensão 32 Amp. 4 Pinos,1.00
77356,103393,Extensão 32 Amp. 4 Pinos,1.00
77356,21813,Extensão 32 Amp. 4 Pinos,1.00
77356,102569,Extensão 32 Amp. 4 Pinos,1.00
77356,89870,Cinta Plana 3 Ton 3 Metros,1.00
77356,103483,Aparelho de soldar semi-automático,1.00
77356,23609,Disco Ø 125 * 6mm,50.00
77356,103482,Aparelho de soldar semi-automático,1.00
77356,95169,Mangueira Argon Encaixe M/F,7.00
77356,103499,Pimenteiro (Quadro Elétrico),1.00
77356,26690,Spray Desmoldante,3.00
77356,103498,Pimenteiro (Quadro Elétrico),1.00
77356,101964,Retificadora diam. 230 mm,1.00
77356,106625,Aparelho de Soldar / Arc-air portátil,1.00
77356,32005,"Conjunto de chaves pancada bocas - 24, 27, 30, 32, 36, 41, 46",2.00
77356,103774,Tocha MIG MAG (não refrigerada),1.00
77356,105405,Antiqueda com chicote em V com amortecedor/absorvedor,1.00
77356,107557,Extensão de Alicate,1.00
77356,53248,Baú de Arrumação,1.00
77356,104269,Caixa de Ferramenta Mecânico,1.00
77356,108936,"Aparafusadora de impacto a bateria 3/4""",1.00
77356,110102,Projetor LED,1.00
77356,57830,Altop,2.00
77356,106470,Retificadora diam. 230 mm,1.00
77356,110141,Tocha MIG MAG (não refrigerada),1.00
77356,119555,Arnês de Segurança,1.00
77356,63601,Chicote 63 Amp. 5 Pinos - 32 Amp. 4 Pinos,1.00
77356,106830,Baú de arrumação,1.00
77356,110225,Extensão de Alicate,1.00
77356,128449,"Aparafusadora de Impacto a Bateria 1/2""",1.00
77356,70073,Aparelho de Soldar / Arc-air portátil,1.00
77356,110059,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos,1.00
77356,115257,Projetor LED,1.00
77356,129888,Mangueira de Ar,1.00
77356,84783,Cinta Plana 3 Ton 3 Metros,1.00
77356,111303,Tocha MIG MAG (Não Refrigerada),1.00
77356,115260,Projetor LED,1.00
77356,131226,"Jogo de Chaves de Caixa 1/2"" com roquete",1.00
77356,90361,Alcaiata macho M16 (Olhal de Suspensão),1.00
77356,116871,Antiqueda com chicote em V com amortecedor/absorvedor,1.00
77356,117872,Alcaiata Macho M16 (Olhal de Suspensão),1.00
77356,131509,Aparelho de Soldar,1.00
77356,99857,Arnês de Segurança,1.00
77356,117652,Extensão 32 Amp. 5 Pinos,1.00
77356,117882,Alcaiata Macho M16 (Olhal de Suspensão),1.00
77356,133019,Chicote CEE - Schuko Triplo,1.00
77356,106453,"Aparafusadora de Impacto a bateria 3/4""",1.00
77356,117790,Cinta Plana 3 Ton 3 Metros,1.00
77356,119244,Caixa de Ferramenta Mecânico,1.00
77356,133723,Alcaiata Fêmea M16 (Olhal de Suspensão),1.00
77356,106643,Alicate de Arcair,1.00
77356,118362,Alcaiata fêmea M20 (Olhal de Suspensão),1.00
77356,121680,Cinta Plana 3 Ton 3 Metros,1.00
77356,133970,Arnês de Segurança,1.00
77356,107292,Diferencial de 1.5 Ton,1.00
77356,127170,Cinta Plana 2 Ton 2 Metros,1.00
77356,121988,Mangueira de Ar,1.00
77356,133973,Arnês de Segurança,1.00
77356,110939,Chicote 32 Amp. 5 Pinos - 32 Amp. 4 Pinos,1.00
77356,131224,"Jogo de Chaves de Caixa 1/2"" com roquete",1.00
77356,122316,Projetor LED,1.00
77356,134253,Cinta Plana 1 Ton 1 Metro,1.00
77356,117275,Mangueira de Ar Comprimido,1.00
77356,131815,Arnês de Segurança,1.00
77356,127178,Cinta Plana 2 Ton 2 Metros,1.00
77356,134372,Retificadora diam. 125 mm,1.00
77356,122452,Retificadora diam. 230 mm,1.00
77356,133399,Alcaiata Fêmea M16 (Olhal de Suspensão),1.00
77356,128733,"Aparafusadora de Impacto a Bateria 1/2""",1.00
77356,134725,Alicate de Arcair,1.00
77356,124544,Antiqueda com chicote em V com amortecedor/absorvedor,1.00
77356,134254,Cinta Plana 1 Ton 1 Metro,1.00
77356,131392,Tocha MIG MAG (não refrigerada),1.00
77356,134764,Antiqueda com chicote em V com amortecedor/absorvedor,1.00
77356,127172,Cinta Plana 2 Ton 2 Metros,1.00
77356,134765,Antiqueda com chicote em V com amortecedor/absorvedor,1.00
77356,131813,Arnês de Segurança,1.00
77356,134809,"Jogo de Chaves de Caixa 3/4""",1.00
77356,127185,Cinta Plana 2 Ton 2 Metros,1.00
77356,135047,"Manilha de 1/2""",1.00
77356,132263,Alicate de Arcair,1.00
77356,135066,"Manilha de 1/2""",1.00
77356,131086,Mangueira de Ar,1.00
77356,135067,"Manilha de 1/2""",1.00
77356,133018,Chicote CEE - Schuko Triplo,1.00
77356,135079,Alcaiata Macho M16 (Olhal de Suspensão),1.00
77356,132185,Aparelho de Soldar,1.00
77356,135076,Alcaiata Fêmea M16 (Olhal de Suspensão),1.00
77356,133449,"Jogo chaves impacto curtas/longas 1/2"" ( 8 à 32mm)",1.00
77356,135365,Retificadora diam. 125 mm,1.00
77356,132259,Alicate de Arcair,1.00
77356,135786,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",1.00
77356,133722,Alcaiata Fêmea M16 (Olhal de Suspensão),1.00
77356,135962,Extensão Tripla 230V,1.00
77356,132940,Antiqueda com chicote em V com amortecedor/absorvedor,1.00
77356,135960,Extensão Tripla 230V,1.00
77356,134252,Cinta Plana 1 Ton 1 Metro,1.00
77356,135969,Extensão Tripla 230V,1.00
77356,133972,Arnês de Segurança,1.00
77356,135963,Extensão Tripla 230V,1.00
77356,134371,Retificadora diam. 125 mm,1.00
77356,135966,Extensão Tripla 230V,1.00
77356,134267,Cinta Plana 1 Ton 1 Metro,1.00
77356,134448,Alcaiata Macho M20 (Olhal de Suspensão),1.00
77356,134367,Retificadora diam. 125 mm,1.00
77356,134811,"Jogo de Chaves de Caixa 3/4""",1.00
77356,134447,Alcaiata Macho M20 (Olhal de Suspensão),1.00
77356,135046,"Manilha de 1/2""",1.00
77356,134759,Antiqueda com chicote em V com amortecedor/absorvedor,1.00
77356,135361,Retificadora diam. 125 mm,1.00
77356,135077,Alcaiata Fêmea M20 (Olhal de Suspensão),1.00
