ID,NAME,SUBFAMILYID
2526,Retificadora diam. 125 mm,863
2527,Retificadora diam. 125mm,863
2528,Retificadora diam. 125 mm,863
2529,Retificadora diam. 125 mm,863
2530,Retificadora diam. 125 mm,863
2531,Aparelho de soldar Semi-automático,762
2532,"Aparafusadora de Impacto a bateria 3/4""",940
2533,"Aparafusadora de Impacto a bateria 3/4""",940
2534,Retificadora diam. 125 mm,863
2539,Extensão Tripla 220V,660
2540,Extensão Tripla 220V,660
2541,Extensão Tripla 220V,660
2542,Extensão Tripla 220V,660
2543,Extensão Tripla 220V,660
2544,Extensão Tripla 220V,660
2545,Extensão Tripla 220V,660
2546,Extensão Tripla 220V,660
2547,Extensão Tripla 220V - Perdido Contentor 28,660
2548,Extensão Tripla 220V,660
2549,Rebolo (retificadora direta),843
2550,Rebolo (retificadora direta),843
2551,Rebolo (retificadora direta),843
2552,Rebolo (retificadora direta),843
2553,Retificadora diam. 125 mm,863
2554,Retificadora diam. 125 mm,863
2555,Extensão Tripla 220V - Perdido Contentor 49,660
2556,Extensão Tripla 220V,660
2557,Extensão Simples 220V,660
2558,Extensão Simples 220V,660
2559,Extensão Tripla 230V,660
2560,Extensão Simples 220V,660
2561,Extensão Simples 220V,660
2562,Retificadora diam. 125 mm,863
2563,Aparelho de soldar semi-automático,762
2564,Tirfor 1600 Kg (guincho manual de cabo passante),908
2565,Berbequim de pedra a bateria (SDS Plus),804
2566,Máquina de Expandir Tubo,941
2567,Serra Circular,942
2568,Aparelho de soldar,527
2569,Berbequim de base magnética,545
2570,Retificadora diam. 125 mm,863
2571,Retificadora diam. 125 mm,863
2572,Retificadora diam. 125 mm,863
2573,Rebolo (retificadora direta),843
2574,Retificadora diam. 125 mm,863
2585,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2586,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2587,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2588,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2589,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2590,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2591,"Puxa 1,5 Ton (Diferencial Manual Alavanca / Camelão)",943
2592,Puxa 3 Ton (Diferencial Manual Alavanca / Camelão),944
2593,Puxa 3 Ton (Diferencial Manual Alavanca / Camelão),944
2594,Puxa 3 Ton (Diferencial Manual Alavanca / Camelão),944
2595,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2596,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
